2023-12-29 08:34:38,911 [Worker-Main6] WARN treasure2 | TreasureLootTableRegistry.java:172 | unable to locate file in jar -> data/treasure2/loot_tables/injects
2023-12-29 08:42:36,494 [Worker-Main3] WARN treasure2 | TreasureLootTableRegistry.java:172 | unable to locate file in jar -> data/treasure2/loot_tables/injects
2023-12-29 08:42:54,828 [Render thread] INFO treasure2 | TreasureTags.java:114 | in tags updated event
2023-12-29 08:42:54,829 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:stone_key by rarity -> COMMON
2023-12-29 08:42:54,829 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:leaf_key by rarity -> UNCOMMON
2023-12-29 08:42:54,830 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:gold_key by rarity -> SCARCE
2023-12-29 08:42:54,836 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:diamond_key by rarity -> RARE
2023-12-29 08:42:54,837 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:thiefs_lock_pick by rarity -> UNCOMMON
2023-12-29 08:42:54,837 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:ember_key by rarity -> SCARCE
2023-12-29 08:42:54,837 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:wood_key by rarity -> COMMON
2023-12-29 08:42:54,837 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:metallurgists_key by rarity -> RARE
2023-12-29 08:42:54,838 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:skeleton_key by rarity -> RARE
2023-12-29 08:42:54,838 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:jewelled_key by rarity -> EPIC
2023-12-29 08:42:54,838 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:ruby_key by rarity -> EPIC
2023-12-29 08:42:54,838 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:onyx_key by rarity -> SCARCE
2023-12-29 08:42:54,838 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:emerald_key by rarity -> RARE
2023-12-29 08:42:54,838 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:lightning_key by rarity -> SCARCE
2023-12-29 08:42:54,838 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:topaz_key by rarity -> SCARCE
2023-12-29 08:42:54,839 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:sapphire_key by rarity -> EPIC
2023-12-29 08:42:54,839 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:pilferers_lock_pick by rarity -> COMMON
2023-12-29 08:42:54,839 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:iron_key by rarity -> UNCOMMON
2023-12-29 08:42:54,839 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:wither_key by rarity -> RARE
2023-12-29 08:42:54,839 [Render thread] INFO treasure2 | TreasureTags.java:131 | registering key -> treasure2:spider_key by rarity -> SCARCE
